,Spec,Sens,FP,FN
res_cb_0.5,0.75,0.25,0.25,0.75
res_cb_0.7,0.6875,0.5,0.3125,0.5
res_bm,0,1,1,0
res_cb_0.51,0.5625,0.5,0.4375,0.5
res_cb_0.71,0.6875,0.75,0.3125,0.25
res_bm1,0.0625,1,0.9375,0
res_cb_0.52,0.4375,0.25,0.5625,0.75
res_cb_0.72,0.5,0.25,0.5,0.75
res_bm2,0,1,1,0
res_cb_0.53,0.625,0,0.375,1
res_cb_0.73,0.5,0.25,0.5,0.75
res_bm3,0,0.75,1,0.25
res_cb_0.54,0.5,0.25,0.5,0.75
res_cb_0.74,0.4375,0.5,0.5625,0.5
res_bm4,0.125,0.75,0.875,0.25
res_cb_0.55,0.6875,1,0.3125,0
res_cb_0.75,0.5625,1,0.4375,0
res_bm5,0,1,1,0
res_cb_0.56,0.6875,0.5,0.3125,0.5
res_cb_0.76,0.6875,0.5,0.3125,0.5
res_bm6,0,1,1,0
res_cb_0.57,0.5,0.25,0.5,0.75
res_cb_0.77,0.5625,0,0.4375,1
res_bm7,0,1,1,0
res_cb_0.58,0.625,0.75,0.375,0.25
res_cb_0.78,0.375,0.75,0.625,0.25
res_bm8,0.1875,0.5,0.8125,0.5
res_cb_0.59,0.6875,0.75,0.3125,0.25
res_cb_0.79,0.5,1,0.5,0
res_bm9,0.0625,0.75,0.9375,0.25
res_cb_0.510,0.5,0.5,0.5,0.5
res_cb_0.710,0.4375,0.5,0.5625,0.5
res_bm10,0.0625,1,0.9375,0
res_cb_0.511,0.6875,0.5,0.3125,0.5
res_cb_0.711,0.75,0.5,0.25,0.5
res_bm11,0.0625,1,0.9375,0
res_cb_0.512,0.5625,0.5,0.4375,0.5
res_cb_0.712,0.5,0.5,0.5,0.5
res_bm12,0.0625,1,0.9375,0
res_cb_0.513,0.75,0.25,0.25,0.75
res_cb_0.713,0.625,0.25,0.375,0.75
res_bm13,0.0625,1,0.9375,0
res_cb_0.514,0.6875,0.25,0.3125,0.75
res_cb_0.714,0.625,0.5,0.375,0.5
res_bm14,0.0625,0.75,0.9375,0.25
res_cb_0.515,0.6875,0.25,0.3125,0.75
res_cb_0.715,0.625,0.25,0.375,0.75
res_bm15,0.0625,1,0.9375,0
res_cb_0.516,0.625,0.5,0.375,0.5
res_cb_0.716,0.6875,0.5,0.3125,0.5
res_bm16,0,1,1,0
res_cb_0.517,0.875,0.25,0.125,0.75
res_cb_0.717,0.75,0.25,0.25,0.75
res_bm17,0,0.75,1,0.25
res_cb_0.518,0.75,0.75,0.25,0.25
res_cb_0.718,0.75,0.75,0.25,0.25
res_bm18,0.25,1,0.75,0
res_cb_0.519,0.6875,0.5,0.3125,0.5
res_cb_0.719,0.625,0.5,0.375,0.5
res_bm19,0.125,1,0.875,0
